Date,Open,High,Low,Close,Adj Close,Volume,Days
2021-01-01,28994.00977,29600.62695,28803.58594,29374.15234,29374.15234,40730301359,1
2021-01-02,29376.45508,33155.11719,29091.18164,32127.26758,32127.26758,67865420765,2
2021-01-03,32129.4082,34608.55859,32052.31641,32782.02344,32782.02344,78665235202,3
2021-01-04,32810.94922,33440.21875,28722.75586,31971.91406,31971.91406,81163475344,4
2021-01-05,31977.04102,34437.58984,30221.1875,33992.42969,33992.42969,67547324782,5
2021-01-06,34013.61328,36879.69922,33514.03516,36824.36328,36824.36328,75289433811,6
2021-01-07,36833.875,40180.36719,36491.19141,39371.04297,39371.04297,84762141031,7
2021-01-08,39381.76563,41946.73828,36838.63672,40797.60938,40797.60938,88107519480,8
2021-01-09,40788.64063,41436.35156,38980.875,40254.54688,40254.54688,61984162837,9
2021-01-10,40254.21875,41420.19141,35984.62891,38356.44141,38356.44141,79980747690,10
2021-01-11,38346.53125,38346.53125,30549.59961,35566.65625,35566.65625,1.23321E+11,11
2021-01-12,35516.35938,36568.52734,32697.97656,33922.96094,33922.96094,74773277909,12
2021-01-13,33915.12109,37599.96094,32584.66797,37316.35938,37316.35938,69364315979,13
2021-01-14,37325.10938,39966.40625,36868.5625,39187.32813,39187.32813,63615990033,14
2021-01-15,39156.70703,39577.71094,34659.58984,36825.36719,36825.36719,67760757881,15
2021-01-16,36821.64844,37864.36719,35633.55469,36178.14063,36178.14063,57706187875,16
2021-01-17,36163.64844,36722.35156,34069.32031,35791.27734,35791.27734,52359854336,17
2021-01-18,35792.23828,37299.28516,34883.84375,36630.07422,36630.07422,49511702429,18
2021-01-19,36642.23438,37755.89063,36069.80469,36069.80469,36069.80469,57244195486,19
2021-01-20,36050.11328,36378.32813,33570.47656,35547.75,35547.75,66834573161,20
2021-01-21,35549.39844,35552.67969,30250.75,30825.69922,30825.69922,75643067688,21
2021-01-22,30817.625,33811.85156,28953.37305,33005.76172,33005.76172,77207272511,22
2021-01-23,32985.75781,33360.97656,31493.16016,32067.64258,32067.64258,48354737975,23
2021-01-24,32064.37695,32944.00781,31106.68555,32289.37891,32289.37891,48643830599,24
